RNALocate_ID	Species	RNA_Symbol	RNA_Type	Subcellular_Localization	GO_Accession	PubMed_ID	RNALocate_Score
RL-E-m-0105386	Mus musculus	Canx	mRNA	organellar ribosome	GO:0000313	12923260.0	0.836757224078988
RL-E-m-0105387	Mus musculus	Ldha	mRNA	organellar ribosome	GO:0000313	12923260.0	0.836757224078988
RL-E-m-0105390	Mus musculus	Gapdh	mRNA	organellar ribosome	GO:0000313	12923260.0	0.836757224078988
RL-E-m-0105395	Mus musculus	Calr	mRNA	organellar ribosome	GO:0000313	12923260.0	0.836757224078988
RL-E-m-0105396	Mus musculus	Sec61a1	mRNA	organellar ribosome	GO:0000313	12923260.0	0.836757224078988
RL-E-m-0105404	Mus musculus	Hsp90b1	mRNA	organellar ribosome	GO:0000313	12923260.0	0.836757224078988
RL-E-m-0105405	Mus musculus	Hsp90ab1	mRNA	organellar ribosome	GO:0000313	12923260.0	0.836757224078988
RL-E-m-0226679	Mus musculus	Atf4	mRNA	Extracellular exosome	GO:0070062	33249722.0	0.694505649698505
RL-E-m-0228970	Mus musculus	Cd3e	mRNA	Extracellular exosome	GO:0070062	37146842.0	0.694505649698505
RL-E-m-0228971	Mus musculus	PDGFR-b	mRNA	Extracellular exosome	GO:0070062	37146842.0	0.694505649698505
RL-E-m-0229000	Mus musculus	Ptprc	mRNA	Extracellular exosome	GO:0070062	37146842.0	0.694505649698505
RL-E-m-0229001	Mus musculus	Ncam1	mRNA	Extracellular exosome	GO:0070062	37146842.0	0.694505649698505
RL-E-m-0229077	Mus musculus	Gfap	mRNA	Extracellular exosome	GO:0070062	37146842.0	0.694505649698505
RL-E-m-0230215	Mus musculus	Pink1	mRNA	Extracellular exosome	GO:0070062	33957982.0	0.694505649698505
RL-E-m-0260520	Mus musculus	Alox5	mRNA	Extracellular vesicle	GO:1903561	36444487.0	0.795006069178413
RL-E-m-0260761	Mus musculus	Socs3	mRNA	Extracellular vesicle	GO:1903561	36444487.0	0.795006069178413
RL-E-m-0260762	Mus musculus	Nos2	mRNA	Extracellular vesicle	GO:1903561	36444487.0	0.795006069178413
